captureArrivalUs,rifeStartUs,rifeEndUs,presentedUs,inferenceMs,dropped
12416436,12416635,12449710,12450916,33.075,0
12451218,12451820,12485016,12486042,33.196,0
12486564,12487708,12520010,12521105,32.302,0
12521300,12521790,12554344,12556364,32.554,0
12557400,12558044,12591969,12593309,33.926,0
12593381,12593947,12627095,12627840,33.148,0
12628128,12628495,12661070,12663470,32.575,0
12663524,12664807,12697562,12698153,32.755,0
12698531,12698978,12732185,12733317,33.206,0
12733655,12734233,12767318,12768728,33.085,0
12769455,12771148,12803964,12804968,32.816,0
12805434,12805998,12837845,12838565,31.847,0
12838992,12839518,12872378,12872956,32.860,0
12873345,12873645,12906715,12907872,33.070,0
12908226,12908673,12941640,12943914,32.967,0
12944682,12946682,12979548,12980749,32.865,0
12981676,12982339,13014907,13015643,32.568,0
13051886,0,0,13051986,0.000,0
13051886,13052978,13085784,13086165,32.806,0
13086586,13086975,13119155,13119621,32.180,0
13119947,13120440,13152915,13153361,32.475,0
13153616,13153848,13186914,13187829,33.066,0
13188258,13188716,13220778,13221188,32.063,0
13221428,13221709,13254446,13256580,32.737,0
13257083,13257673,13290709,13292518,33.036,0
13293142,13293802,13327126,13328476,33.324,0
13328725,13329327,13361653,13362928,32.326,0
13363010,13363521,13395732,13396075,32.212,0
13432447,0,0,13432497,0.000,0
13432447,13433584,13467614,13468536,34.030,0
13468935,13469468,13501798,13502917,32.330,0
13502961,13503414,13535637,13536782,32.222,0
13537329,13538223,13571635,13572969,33.413,0
13573279,13573664,13606801,13608631,33.137,0
13609509,13610745,13643627,13644565,32.883,0
13644923,13645433,13676797,13677629,31.364,0
13678517,13678886,13711882,13712630,32.996,0
13713089,13713415,13746568,13747484,33.153,0
13747905,13748796,13781848,13782709,33.052,0
13782965,13783373,13815462,13815916,32.088,0
13851219,13852477,0,13852485,0.000,0
13851219,13852477,13885776,13886156,33.299,0
13886374,13886625,13918956,13919760,32.331,0
13920144,13920995,13954369,13955128,33.375,0
13955581,13955969,13988701,13989974,32.731,0
13990324,13990830,14022957,14024931,32.126,0
14025834,14027276,14059844,14061512,32.568,0
14062281,14063022,14095029,14095452,32.007,0
14095713,14095997,14128855,14129323,32.858,0
14129620,14129994,14163047,14163935,33.052,0
14164362,14165380,14198163,14200723,32.783,0
14201412,14202115,14234462,14235362,32.348,0
14236120,14236559,14269488,14271150,32.929,0
14271572,14272209,14305292,14306774,33.083,0
14307922,14309212,14341487,14342800,32.275,0
14343102,14343588,14375861,14376636,32.273,0
14376992,14377693,14410807,14411202,33.114,0
14411423,14411672,14444455,14445244,32.783,0
14445601,14445960,14478593,14481125,32.633,0
14481865,14483059,14516875,14518243,33.816,0
14518896,14520194,14554282,14555331,34.088,0
14555681,14556339,14590224,14591047,33.885,0
14591383,14591784,14624727,14625958,32.943,0
14626049,14626690,14659050,14659817,32.360,0
14660143,14660605,14693229,14693979,32.624,0
14694252,14694712,14728732,14729241,34.020,0
14729499,14729779,14762430,14763373,32.651,0
14763922,14764709,14797113,14798093,32.404,0
14798574,14799039,14831992,14833253,32.953,0
14833652,14834202,14867237,14867771,33.035,0
14868021,14868293,14900799,14901506,32.506,0
14901835,14902189,14934233,14935021,32.044,0
14935444,14936132,14969479,14970456,33.347,0
14970897,14971411,15004681,15005395,33.270,0
15005853,15006831,15040119,15040750,33.288,0
15041050,15041354,15073294,15073636,31.940,0
15073912,15074134,15107170,15107543,33.036,0
15107770,15108021,15140874,15141707,32.853,0
15142067,15142453,15174854,15175332,32.400,0
15175585,15175878,15208510,15209277,32.632,0
15210171,15211394,15245338,15246006,33.944,0
15246308,15246667,15278811,15279491,32.144,0
15280110,15280610,15312870,15313753,32.260,0
15314139,15314586,15347751,15348754,33.165,0
15349260,15350196,15382845,15384905,32.649,0
15385012,15386206,15418675,15420916,32.468,0
15422054,15422943,15455170,15455847,32.227,0
15456351,15456741,15490245,15491161,33.504,0
15491896,15492775,15527160,15527929,34.385,0
15528151,15528478,15561019,15563425,32.541,0
15564144,15564969,15597134,15598120,32.165,0
15598445,15598906,15631698,15632342,32.792,0
15632749,15633195,15666939,15667833,33.744,0
15667901,15668937,15702380,15702912,33.444,0
15703189,15703483,15735717,15736778,32.234,0
15737208,15737694,15771149,15772088,33.454,0
15772704,15773285,15806443,15807640,33.158,0
15808114,15809067,15842172,15843516,33.105,0
15844500,15845577,15877332,15877738,31.754,0
15878028,15878232,15910922,15911539,32.690,0
15911841,15912233,15945750,15946666,33.517,0
15946922,15947361,15979304,15980184,31.943,0
15980392,15980966,16013355,16014655,32.390,0
16015449,16016466,16050251,16051347,33.785,0
16051675,16052265,16085286,16086314,33.020,0
16086668,16087329,16119552,16120608,32.223,0
16121020,16121530,16153543,16154627,32.013,0
16154676,16155509,16189946,16190573,34.437,0
16190915,16191316,16224869,16225616,33.553,0
16225924,16226257,16258843,16259893,32.585,0
